number = 1 ; Sin(1) = 0.841470984807897 ; Cos(1) = 0.54030230586814
number = 2 ; Sin(2) = 0.909297426825682 ; Cos(2) = -0.416146836547142
number = 3 ; Sin(3) = 0.141120008059867 ; Cos(3) = -0.989992496600445
number = 4 ; Sin(4) = -0.756802495307928 ; Cos(4) = -0.653643620863612
number = 5 ; Sin(5) = -0.958924274663138 ; Cos(5) = 0.283662185463226
number = 6 ; Sin(6) = -0.279415498198926 ; Cos(6) = 0.960170286650366
number = 7 ; Sin(7) = 0.656986598718789 ; Cos(7) = 0.753902254343305
number = 8 ; Sin(8) = 0.989358246623382 ; Cos(8) = -0.145500033808614
number = 9 ; Sin(9) = 0.412118485241757 ; Cos(9) = -0.911130261884677
number = 10 ; Sin(10) = -0.54402111088937 ; Cos(10) = -0.839071529076452
number = 21 ; Sin(21) = 0.836655638536056 ; Cos(21) = -0.547729260224268
